Economy,Year,Proportion of seats held by women in national parliaments (%)
Afghanistan,2021,27%
Albania,2024,35.70%
Algeria,2024,7.90%
American Samoa,2024,N/A
Andorra,2024,50%
Angola,2024,39.50%
Antigua and Barbuda,2024,5.60%
Argentina,2024,42.40%
Armenia,2024,36.40%
Aruba,2024,N/A
Australia,2024,38%
Austria,2024,36.10%
Azerbaijan,2024,20.80%
"Bahamas, The",2024,17.90%
Bahrain,2024,20%
Bangladesh,2023,20.90%
Barbados,2024,26.70%
Belarus,2024,33.60%
Belgium,2024,41.30%
Belize,2024,15.60%
Benin,2024,26.60%
Bermuda,2024,N/A
Bhutan,2024,4.30%
Bolivia,2024,46.20%
Bosnia and Herzegovina,2024,19%
Botswana,2024,8.70%
Brazil,2024,17.50%
British Virgin Islands,2024,N/A
Brunei Darussalam,2024,11.80%
Bulgaria,2024,20.80%
Burkina Faso,2024,18.30%
Burundi,2024,38.20%
Cabo Verde,2024,38.90%
Cambodia,2024,13.60%
Cameroon,2024,33.90%
Canada,2024,30.70%
Cayman Islands,2024,N/A
Central African Republic,2024,11.40%
Chad,2024,26.10%
Channel Islands,2024,N/A
Chile,2024,35.50%
China,2024,26.50%
Colombia,2024,29.40%
Comoros,2024,16.70%
"Congo, Dem. Rep.",2024,13%
"Congo, Rep.",2024,14.60%
Costa Rica,2024,49.10%
Cote d'Ivoire,2024,13.40%
Croatia,2024,33.10%
Cuba,2024,55.70%
Curacao,2024,N/A
Cyprus,2024,14.30%
Czechia,2024,26%
Denmark,2024,45.30%
Djibouti,2024,26.20%
Dominica,2024,37.50%
Dominican Republic,2024,36.80%
Ecuador,2024,43.10%
"Egypt, Arab Rep.",2024,27.70%
El Salvador,2024,31.70%
Equatorial Guinea,2024,32%
Eritrea,2019,22%
Estonia,2024,29.70%
Eswatini,2024,21.60%
Ethiopia,2024,41.30%
Faroe Islands,2024,N/A
Fiji,2024,9.10%
Finland,2024,46%
France,2024,36%
French Polynesia,2024,N/A
Gabon,2024,25.50%
"Gambia, The",2023,8.60%
Georgia,2024,22.70%
Germany,2024,35.30%
Ghana,2024,14.50%
Gibraltar,2024,N/A
Greece,2024,23%
Greenland,2024,N/A
Grenada,2024,31.30%
Guam,2024,N/A
Guatemala,2024,20%
Guinea,2024,29.60%
Guinea-Bissau,2024,9.80%
Guyana,2024,39.40%
Haiti,2019,2.50%
Honduras,2024,27.30%
"Hong Kong SAR, China",2024,N/A
Hungary,2024,14.60%
Iceland,2024,46%
India,2024,13.70%
Indonesia,2024,21%
"Iran, Islamic Rep.",2024,4.80%
Iraq,2024,28.90%
Ireland,2024,25.30%
Isle of Man,2024,N/A
Israel,2024,25%
Italy,2024,32.30%
Jamaica,2024,27.40%
Japan,2024,15.70%
Jordan,2024,19.60%
Kazakhstan,2024,19.40%
Kenya,2024,23.30%
Kiribati,2024,11.10%
"Korea, Dem. People's Rep.",2024,17.60%
"Korea, Rep.",2024,20%
Kosovo,2024,N/A
Kuwait,2023,3.10%
Kyrgyz Republic,2024,21.10%
Lao PDR,2024,22%
Latvia,2024,32%
Lebanon,2024,6.30%
Lesotho,2024,25%
Liberia,2024,11%
Libya,2024,16.50%
Liechtenstein,2024,28%
Lithuania,2024,28.40%
Luxembourg,2024,33.30%
"Macao SAR, China",2024,N/A
Madagascar,2024,16%
Malawi,2024,20.70%
Malaysia,2024,13.50%
Maldives,2024,3.20%
Mali,2024,30.70%
Malta,2024,27.80%
Marshall Islands,2024,12.10%
Mauritania,2024,23.30%
Mauritius,2024,19.40%
Mexico,2024,50.20%
"Micronesia, Fed. Sts.",2024,15.40%
Moldova,2024,40.80%
Monaco,2024,45.80%
Mongolia,2024,25.40%
Montenegro,2024,27.20%
Morocco,2024,24.30%
Mozambique,2024,39.20%
Myanmar,2021,15.30%
Namibia,2024,40.60%
Nauru,2024,10.50%
Nepal,2024,33.10%
Netherlands,2024,38.70%
New Caledonia,2024,N/A
New Zealand,2024,45.50%
Nicaragua,2024,53.80%
Niger,2022,25.90%
Nigeria,2024,3.90%
North Macedonia,2024,39.20%
Northern Mariana Islands,2024,N/A
Norway,2024,44.40%
Oman,2024,0%
Pakistan,2024,17%
Palau,2024,25%
Panama,2024,21.40%
Papua New Guinea,2024,2.70%
Paraguay,2024,23.80%
Peru,2024,38.50%
Philippines,2024,27.30%
Poland,2024,29.60%
Portugal,2024,32.60%
Puerto Rico,2024,N/A
Qatar,2024,4.40%
Romania,2024,19.20%
Russian Federation,2024,16.40%
Rwanda,2024,63.80%
Samoa,2024,13%
San Marino,2024,35%
Sao Tome and Principe,2024,14.50%
Saudi Arabia,2024,19.90%
Senegal,2024,41.20%
Serbia,2024,38%
Seychelles,2024,20.60%
Sierra Leone,2024,29.50%
Singapore,2024,29.30%
Sint Maarten (Dutch part),2024,N/A
Slovak Republic,2024,22.70%
Slovenia,2024,37.80%
Solomon Islands,2024,6%
Somalia,2024,19.60%
South Africa,2024,44.70%
South Sudan,2024,32.40%
Spain,2024,44.30%
Sri Lanka,2024,10%
St. Kitts and Nevis,2024,31.30%
St. Lucia,2024,11.10%
St. Martin (French part),2024,N/A
St. Vincent and the Grenadines,2024,21.70%
Sudan,2018,30.50%
Suriname,2024,31.40%
Sweden,2024,46.70%
Switzerland,2024,38.50%
Syrian Arab Republic,2024,9.60%
Tajikistan,2024,27%
Tanzania,2024,37.40%
Thailand,2024,19.40%
Timor-Leste,2024,35.40%
Togo,2024,18.60%
Tonga,2024,7.10%
Trinidad and Tobago,2024,28.60%
Tunisia,2024,15.70%
Turkiye,2024,19.90%
Turkmenistan,2024,25.60%
Turks and Caicos Islands,2024,N/A
Tuvalu,2024,0%
Uganda,2024,33.90%
Ukraine,2024,21.10%
United Arab Emirates,2024,50%
United Kingdom,2024,40.50%
United States,2024,28.70%
Uruguay,2024,28.30%
Uzbekistan,2024,38%
Vanuatu,2024,2%
"Venezuela, RB",2021,22.20%
Vietnam,2024,30.60%
Virgin Islands (U.S.),2024,N/A
West Bank and Gaza,2024,N/A
"Yemen, Rep.",2024,0%
Zambia,2024,15%
Zimbabwe,2024,28.10%